species_id,count,max_toxicity,median_toxicity,mean_toxicity,std_toxicity,q95_toxicity,run_id
595,5,0.3775,0.339,0.27858,0.12815492811437257,0.3742,run05_speciated
596,4,0.2316,0.07450000000000001,0.1057,0.07387695851887786,0.20815499999999995,run05_speciated
613,34,0.2285,0.0574,0.08274117647058822,0.05832214349752012,0.200705,run05_speciated
597,6,0.1616,0.041800000000000004,0.06013333333333334,0.04742385709979969,0.13724999999999998,run05_speciated
598,24,0.1544,0.045399999999999996,0.06014166666666667,0.032721411398179155,0.11549,run05_speciated
608,5,0.1191,0.0513,0.0662,0.03717461499464386,0.11528,run05_speciated
599,9,0.1191,0.0303,0.054033333333333336,0.04316809521445722,0.11678,run05_speciated
600,5,0.1119,0.0979,0.07572,0.03647675424157144,0.11056,run05_speciated
601,7,0.1044,0.0769,0.07475714285714286,0.02708208987203046,0.1044,run05_speciated
612,15,0.0948,0.0412,0.04715333333333334,0.02753303147534289,0.09221,run05_speciated
609,19,0.088,0.0369,0.040057894736842105,0.019737709454626072,0.07656999999999997,run05_speciated
602,4,0.0745,0.059149999999999994,0.0555,0.016478622515246837,0.072475,run05_speciated
603,8,0.0666,0.02465,0.0294125,0.015846406335507116,0.05553999999999999,run05_speciated
604,2,0.0592,0.04815,0.04815,0.01105,0.058095,run05_speciated
610,7,0.0449,0.034,0.029257142857142853,0.011255329803235082,0.04298,run05_speciated
611,9,0.0417,0.026,0.02767777777777778,0.0063817061072652176,0.037779999999999994,run05_speciated
605,4,0.0338,0.0296,0.03005,0.002380651171423482,0.03319999999999999,run05_speciated
606,5,0.0338,0.0232,0.024239999999999998,0.007514678968525534,0.033159999999999995,run05_speciated
607,3,0.0201,0.0176,0.0176,0.002041241452319315,0.01985,run05_speciated
