generation,operator,NE,EHR,IR,cEHR,Δμ,Δσ,total_variants,elite_count,non_elite_count,rejections,duplicates
9.0,MLM,0.0,50.0,50.0,100.0,0.0023,0.0,1.0,1.0,0.0,1.0,0.0
9.0,NegationOperator,0.0,100.0,0.0,100.0,0.0026,0.0059,2.0,2.0,0.0,0.0,0.0
9.0,POSAwareAntonymReplacement,0.0,100.0,0.0,100.0,0.0093,0.0035,2.0,2.0,0.0,0.0,0.0
9.0,SemanticFusionCrossover,0.0,100.0,0.0,100.0,0.0451,0.0,1.0,1.0,0.0,0.0,0.0
9.0,SemanticSimilarityCrossover,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0
9.0,StylisticMutator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
9.0,TypographicalErrorsOperator,0.0,50.0,50.0,100.0,0.0226,0.0,1.0,1.0,0.0,1.0,0.0
10.0,ConceptAdditionOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
10.0,InformedEvolutionOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
10.0,LLMBackTranslation_HI,0.0,50.0,50.0,100.0,0.0335,0.0,1.0,1.0,0.0,1.0,0.0
10.0,LLMBasedParaphrasing,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
10.0,LLM_POSAwareSynonymReplacement,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
10.0,MLM,0.0,50.0,50.0,100.0,0.0422,0.0,1.0,1.0,0.0,1.0,0.0
10.0,NegationOperator,0.0,50.0,50.0,100.0,0.0866,0.0,1.0,1.0,0.0,1.0,0.0
10.0,POSAwareAntonymReplacement,0.0,50.0,50.0,100.0,-0.0067,0.0,1.0,1.0,0.0,1.0,0.0
10.0,SemanticFusionCrossover,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,1.0,0.0
10.0,SemanticSimilarityCrossover,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0
